address,attributes.AcceptsInsurance,attributes.AgesAllowed,attributes.Alcohol,attributes.Ambience.casual,attributes.Ambience.classy,attributes.Ambience.divey,attributes.Ambience.hipster,attributes.Ambience.intimate,attributes.Ambience.romantic,attributes.Ambience.touristy,attributes.Ambience.trendy,attributes.Ambience.upscale,attributes.BestNights.friday,attributes.BestNights.monday,attributes.BestNights.saturday,attributes.BestNights.sunday,attributes.BestNights.thursday,attributes.BestNights.tuesday,attributes.BestNights.wednesday,attributes.BikeParking,attributes.BusinessAcceptsBitcoin,attributes.BusinessAcceptsCreditCards,attributes.BusinessParking.garage,attributes.BusinessParking.lot,attributes.BusinessParking.street,attributes.BusinessParking.valet,attributes.BusinessParking.validated,attributes.ByAppointmentOnly,attributes.BYOB,attributes.BYOBCorkage,attributes.Caters,attributes.CoatCheck,attributes.Corkage,attributes.DietaryRestrictions.dairy-free,attributes.DietaryRestrictions.gluten-free,attributes.DietaryRestrictions.halal,attributes.DietaryRestrictions.kosher,attributes.DietaryRestrictions.soy-free,attributes.DietaryRestrictions.vegan,attributes.DietaryRestrictions.vegetarian,attributes.DogsAllowed,attributes.DriveThru,attributes.GoodForDancing,attributes.GoodForKids,attributes.GoodForMeal.breakfast,attributes.GoodForMeal.brunch,attributes.GoodForMeal.dessert,attributes.GoodForMeal.dinner,attributes.GoodForMeal.latenight,attributes.GoodForMeal.lunch,attributes.HairSpecializesIn.africanamerican,attributes.HairSpecializesIn.asian,attributes.HairSpecializesIn.coloring,attributes.HairSpecializesIn.curly,attributes.HairSpecializesIn.extensions,attributes.HairSpecializesIn.kids,attributes.HairSpecializesIn.perms,attributes.HairSpecializesIn.straightperms,attributes.HappyHour,attributes.HasTV,attributes.Music.background_music,attributes.Music.dj,attributes.Music.jukebox,attributes.Music.karaoke,attributes.Music.live,attributes.Music.no_music,attributes.Music.video,attributes.NoiseLevel,attributes.Open24Hours,attributes.OutdoorSeating,attributes.RestaurantsAttire,attributes.RestaurantsCounterService,attributes.RestaurantsDelivery,attributes.RestaurantsGoodForGroups,attributes.RestaurantsPriceRange2,attributes.RestaurantsReservations,attributes.RestaurantsTableService,attributes.RestaurantsTakeOut,attributes.Smoking,attributes.WheelchairAccessible,attributes.WiFi,business_id,categories,city,hours.Friday,hours.Monday,hours.Saturday,hours.Sunday,hours.Thursday,hours.Tuesday,hours.Wednesday,is_open,latitude,longitude,name,neighborhood,postal_code,review_count,stars,state
775 Freeport Rd,,,full_bar,False,False,False,False,False,False,False,False,False,,,,,,,,False,,True,False,False,False,False,False,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,average,,True,casual,,False,True,2.0,,True,True,,,no,3uP7K1VgnSdEieDoH00A4g,"Pizza, Restaurants, Barbeque",Cheswick,11:0-23:0,11:0-22:0,11:0-23:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,0,40.541278,-79.818972,Timeout Pizza Pub & Grub,,15024,5,2.0,PA
807 Liberty Ave,,,none,True,False,False,False,False,False,False,False,False,,,,,,,,,,True,False,False,True,False,False,,,,,,,,,,,,,,,False,,True,False,False,False,False,False,False,,,,,,,,,,False,,,,,,,,quiet,,False,casual,,,True,1.0,False,False,True,,,,Gp8_vPUZBncqy4Fwc8ga7A,"Fast Food, Restaurants",Pittsburgh,12:0-18:0,12:0-18:0,12:0-18:0,,12:0-18:0,12:0-18:0,12:0-18:0,0,40.4426692,-79.998918,Go Pretzel,Downtown,15222,13,3.5,PA
115 Federal St,,,,True,False,False,False,False,False,False,False,False,,,,,,,,True,,True,False,False,True,False,False,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,True,,,,,,,,,True,True,,,,,,,,,,True,casual,,False,True,2.0,False,,True,,,free,d0aLkD3VQ3sijckod-oSDg,"Mexican, Tex-Mex, Restaurants, Beer Bar, Bars, Nightlife",Pittsburgh,11:0-20:0,11:0-14:0,11:0-20:0,12:0-18:0,11:0-19:0,11:0-19:0,11:0-19:0,1,40.44758122,-80.00436023,Steel Cactus,North Side,15212,65,2.5,PA
1711 Penn Ave,,,none,True,False,False,False,False,False,False,False,False,,,,,,,,True,False,True,False,True,True,False,False,False,,,True,,,,,,,,,,False,,,True,False,False,False,False,False,True,,,,,,,,,,False,,,,,,,,average,,False,casual,,False,True,2.0,False,False,True,,True,no,hsRjct8UiUHU54B983GmcA,"Meat Shops, Seafood, Grocery, Specialty Food, Seafood Markets, Food, Restaurants",Pittsburgh,8:0-18:0,8:0-17:30,8:0-17:0,9:0-16:0,8:0-17:30,8:0-17:30,8:0-17:30,1,40.450111,-79.9858749,Robert Wholey and Co Fish Market,Strip District,15222,210,4.0,PA
1707 Murray Ave,,,none,True,False,False,False,False,False,False,False,False,,,,,,,,False,,True,False,False,True,False,False,,,,False,,,,,,,,,,,,,True,False,False,False,True,False,True,,,,,,,,,,False,,,,,,,,quiet,,False,casual,,,False,1.0,False,False,True,,,no,0r1Ow0HYAAjU7oM_2ePN6g,"Tacos, Mexican, Restaurants",Pittsburgh,11:0-21:30,11:0-21:0,11:0-21:30,11:0-20:30,11:0-21:0,11:0-21:0,11:0-21:0,1,40.4377293,-79.9227349,Bull River Taco,Squirrel Hill,15217,60,3.5,PA
6501 Steubenville Pike,,,none,True,False,False,False,False,False,False,False,False,,,,,,,,True,,True,False,False,False,False,False,,,,True,,,,,,,,,,,,,True,False,False,False,True,False,True,,,,,,,,,,False,,,,,,,,average,,False,casual,,False,True,1.0,False,False,True,,,free,yhoCIkTwHihWejVqGYZ4rw,"Sandwiches, Delis, Restaurants, Salad",Pittsburgh,10:0-22:0,10:0-21:0,10:0-22:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,1,40.447998,-80.15871629,DiBella's Subs,,15205,31,4.0,PA
524 William Penn Pl,,,full_bar,False,False,False,False,False,False,False,True,False,,,,,,,,False,False,True,False,False,True,True,False,,,,False,True,,,,,,,,,False,,False,False,False,False,False,True,False,False,,,,,,,,,True,False,False,False,False,False,False,False,False,average,,False,casual,,False,True,3.0,True,True,True,no,True,free,wKlH90YB5RYFvJ8N3pstVw,"Seafood, Cocktail Bars, Nightlife, Restaurants, Bars, American (New)",Pittsburgh,11:0-23:0,11:0-22:0,10:0-23:0,10:0-21:0,11:0-22:0,11:0-22:0,11:0-22:0,1,40.4404227,-79.9972048,Union Standard,Downtown,15219,117,4.0,PA
580 Burchfield Rd,,,none,True,False,False,False,False,False,False,False,False,,,,,,,,True,,True,False,True,False,False,False,,,,True,,,,,,,,,,False,,,True,False,False,False,True,False,True,,,,,,,,,,True,,,,,,,,average,,True,casual,,True,True,1.0,False,False,True,,True,free,WL5n6c5FZWTdsLCE2GoGoQ,"Restaurants, Pizza",Allison Park,,,,,,,,1,40.5445287,-79.9628682,Pizzarita,,15101,10,3.0,PA
600 Brookline Blvd,,,none,True,False,False,False,False,False,False,False,False,,,,,,,,True,,True,False,False,True,False,False,,,,True,,,,,,,,,,,,,True,False,False,False,True,False,True,,,,,,,,,,True,,,,,,,,average,,False,casual,,True,True,2.0,False,False,True,,True,free,t7zt6AgybRzdPtj7fh_aJg,"Barbeque, Restaurants",Pittsburgh,12:0-21:0,,12:0-21:0,12:0-19:0,11:0-20:0,11:0-20:0,11:0-20:0,0,40.3951787,-80.0225039,Smoq Pitt,Brookline,15226,85,3.5,PA
"3909 Washington Rd, Ste 201",,,full_bar,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,,,,False,False,,,,,,,,,False,,False,True,False,False,False,True,False,False,,,,,,,,,True,True,False,False,False,False,False,False,False,average,,True,casual,,False,True,2.0,False,True,True,no,True,free,cKRGB46UJp3z3TgVlzk4tw,"Mexican, Latin American, Spanish, Restaurants, Nightlife, Bars",McMurray,11:0-23:0,11:0-22:0,11:0-23:0,,11:0-22:0,11:0-22:0,11:0-22:0,0,40.27116,-80.125909,Sirena Taco Joint & Bar,,15317,65,3.0,PA
3000 Mosside Blvd,,,full_bar,True,False,False,False,False,False,False,False,False,,,,,,,,True,,True,False,True,False,False,False,,,,False,,,,,,,,,,,,,True,False,False,False,True,False,False,,,,,,,,,,True,,,,,,,,average,,False,casual,,True,True,2.0,True,True,True,,True,free,p3DmeeCNz-BdijenlxGI2A,"Restaurants, Steakhouses",Monroeville,11:0-23:0,11:0-22:0,11:0-23:0,11:0-21:0,11:0-22:0,11:0-22:0,11:0-22:0,1,40.4383875,-79.7593976,Outback Steakhouse,,15146,68,3.0,PA
835 Pittsburgh St,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,True,False,False,True,False,False,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,,,,,,,,,,True,,,,,,,,quiet,,False,casual,,True,True,2.0,False,True,True,,,no,oNbHWBPd4O8unJqBi_MNDQ,"Pizza, Restaurants",Springdale,,,,,,,,1,40.5414597,-79.778639,La Nova Pizzeria,,15144,18,4.0,PA
1141 Freeport Rd,,,full_bar,False,False,False,False,False,False,False,False,False,,,,,,,,,,,False,False,False,False,False,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,,,,,,,,,,True,,,,,,,,average,,True,casual,,,True,2.0,True,True,True,,,paid,M8UHKKHpJHd7AUiMTHGrOw,"Restaurants, American (New)",Pittsburgh,,,,,,,,0,40.4884107,-79.8809619,Walnut Grove,,15238,17,3.0,PA
2349 Railroad St,,,,,,,,,,,,,,,,,,,,,,True,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,True,,5JpT-YazYAR1V8wRk4tV6g,"Food, Nightlife, Restaurants, Bars, Seafood",Pittsburgh,,,,,,,,0,40.4543526,-79.9828179,Il Mercato,Strip District,15222,3,3.5,PA
2128 Murray Ave,,,beer_and_wine,True,False,False,False,False,False,False,False,False,,,,,,,,True,,False,False,False,True,False,False,,True,yes_free,False,,,,,,,,,,,,,True,False,False,False,True,False,True,,,,,,,,,,True,,,,,,,,average,,False,casual,True,False,True,1.0,False,False,True,,True,no,RThuRlhMdowhtY8vITEIzQ,"Restaurants, Ice Cream & Frozen Yogurt, Desserts, Food, Pizza, Italian",Pittsburgh,11:0-2:0,11:0-1:0,11:0-2:0,11:0-1:0,11:0-1:0,11:0-1:0,11:0-1:0,1,40.4328604,-79.9232273,Mineo's Pizza House,Squirrel Hill,15217,277,3.5,PA
400 Penn Center Blvd,,,none,False,False,False,False,False,False,False,False,False,,,,,,,,True,,True,False,False,False,False,False,,,,True,,,,,,,,,,,,,True,True,False,False,False,False,False,,,,,,,,,,False,,,,,,,,quiet,,False,casual,,False,True,1.0,False,False,True,,,free,w9IDJZeQhTQuBSTEu4nheA,"Soup, Bagels, Sandwiches, Restaurants, Salad, Breakfast & Brunch, Food",Pittsburgh,6:30-21:0,6:30-21:0,6:30-21:0,7:0-20:0,6:30-21:0,6:30-21:0,6:30-21:0,1,40.42909117,-79.81300324,Panera Bread,,15235,17,2.5,PA
3616 5th Ave,,,none,True,False,False,False,False,False,False,False,False,,,,,,,,True,,True,False,False,False,False,False,,,,False,,,,,,,,,,,False,,True,False,False,False,False,False,True,,,,,,,,,,False,,,,,,,,very_loud,,False,casual,,False,True,1.0,False,False,True,,,no,6dDItJbFIwYCmoLZF3iTcg,"Chicken Wings, American (Traditional), Restaurants, Fast Food",Pittsburgh,10:0-0:0,10:30-23:0,10:0-0:0,10:30-23:0,10:30-23:0,10:30-23:0,10:30-23:0,1,40.4415369,-79.958418,Popeyes Louisiana Kitchen,Oakland,15213,27,2.0,PA
25 Walsh Rd,,,full_bar,False,False,False,False,False,False,False,False,False,,,,,,,,False,,True,False,False,False,False,False,,,,False,False,,,,,,,,,,,False,False,False,False,False,False,False,False,,,,,,,,,True,True,False,True,False,False,False,False,False,loud,,False,casual,,False,True,1.0,False,True,True,,,no,FFsG1lhnKz3_xyB2LyCXpg,"Chicken Wings, American (Traditional), Bars, Restaurants, Nightlife",Pittsburgh,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,1,40.4391056,-80.0711385,Mugshots Cafe,,15205,10,3.0,PA
710 Broadway,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,True,False,False,False,False,False,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,casual,,True,False,2.0,False,,True,,,,DkEOy5-hSds5Y9RvxMzCVg,"Sandwiches, Restaurants, Pizza",Pitcairn,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,1,40.4023147,-79.7748751,Fox's Pizza Den,,15140,6,3.5,PA
2024 Sarah St,,,full_bar,False,False,False,False,False,False,False,False,False,,,,,,,,False,,False,,,,,,,,,False,,,,,,,,,,,,,False,False,False,False,False,False,False,,,,,,,,,,True,,,,,,,,,,False,casual,,False,True,4.0,False,,False,,,,cK1HL-8VreiF4K6ZcponLQ,"Bars, Restaurants, Dive Bars, Nightlife",Pittsburgh,,,,,,,,1,40.4274522,-79.9767288,Walker's Pub,South Side,15203,5,3.5,PA
112 Westinghouse Ave,,,full_bar,True,False,False,False,False,False,False,False,False,,,,,,,,True,,True,False,False,True,False,False,,,,,,,,,,,,,,,,,False,False,False,False,True,False,False,,,,,,,,,,True,,,,,,,,loud,,False,casual,,False,True,2.0,True,True,True,,True,no,ZMH9VRSRdGsECRjxFYpLqA,"Soup, Italian, Restaurants, Salad, American (Traditional)",Wilmerding,16:0-23:0,,,,16:0-23:0,16:0-23:0,16:0-23:0,1,40.3927887,-79.8100605,Johnny's,,15148,17,3.5,PA
4613 Centre Ave,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,average,,,casual,,False,True,1.0,False,,True,,,,ykwGLizkYXRsYy79kDFAKg,"Sandwiches, Restaurants, Fast Food",Pittsburgh,,,,,,,,1,40.4522058,-79.9515557,Subway,Oakland,15213,8,2.0,PA
11644 Frankstown Rd,,,none,False,False,True,False,False,False,False,False,False,,,,,,,,True,False,False,False,True,True,False,False,,,,True,,,,,,,,,,False,,,True,False,False,False,True,False,True,,,,,,,,,,True,,,,,,,,quiet,,False,casual,,True,True,1.0,False,False,True,,True,no,B1dCyA21u1mG1bcrq9TTYg,"Seafood, Restaurants, Fish & Chips",Pittsburgh,11:0-23:0,11:0-22:0,11:0-23:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,1,40.4652145,-79.8272067,Hook Fish & Chicken,,15235,9,3.0,PA
4899 William Penn Hwy,,,none,False,False,False,False,False,False,False,False,False,,,,,,,,False,,True,False,True,False,False,False,,,,,,,,,,,,,,,False,,True,False,False,False,False,False,True,,,,,,,,,,False,,,,,,,,average,,True,casual,,False,True,2.0,False,False,True,,,no,F8p7jBnOJIcclFL8AEVt0g,"American (New), Restaurants, Fast Food, Burgers",Murrysville,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,1,40.421954,-79.6615748,Five Guys,,15668,7,4.0,PA
200 Robinson Center Dr,,,full_bar,True,False,False,False,False,False,False,False,False,,,,,,,,False,,True,False,True,False,False,False,,,,False,,,,,,,,,,False,,,True,False,False,False,True,False,False,,,,,,,,,,True,,,,,,,,average,,False,casual,,False,True,2.0,True,True,True,,True,free,nfJHNu_AQXptaTQIHjpAoQ,"Barbeque, Steakhouses, Restaurants, American (Traditional)",Pittsburgh,11:0-23:0,11:0-22:0,11:0-23:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,1,40.45140258,-80.16183143,LongHorn Steakhouse,,15205,45,3.5,PA
4214 Steubenville Pike,,,full_bar,False,False,False,False,False,False,False,False,False,,,,,,,,False,,True,False,False,False,False,False,,,,False,False,,,,,,,,,,,False,False,False,False,False,False,False,False,,,,,,,,,True,True,False,False,True,False,False,False,False,average,,False,casual,,False,True,2.0,False,True,True,,,no,rKh_Nl5edIB9AevqnDmO6g,"Sports Bars, Restaurants, Nightlife, Fish & Chips, American (New), Bars",Pittsburgh,11:0-2:0,11:0-2:0,11:0-2:0,12:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,1,40.43990905,-80.08915266,Fireside Inn,,15205,10,4.0,PA
219 Atwood St,,,none,True,False,False,False,False,False,False,False,False,,,,,,,,True,False,True,False,False,False,False,False,,,,False,,,,,,,,,,False,,,True,False,False,False,False,False,True,,,,,,,,,,False,,,,,,,,average,,False,casual,,True,True,1.0,False,False,True,,,no,zJ9NdZoehzdURLEKUKcMIg,"Italian, Desserts, Pizza, Restaurants, Food",Pittsburgh,11:0-3:0,11:0-2:0,15:0-3:0,15:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,1,40.44064864,-79.95707776,Pizza Romano,Oakland,15213,29,2.5,PA
1153 Freeport Rd,,,none,False,False,False,False,False,False,False,False,False,,,,,,,,,,True,False,False,False,False,False,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,False,,,,,,,,,,False,casual,,False,False,1.0,False,,True,,,no,mdKSq2mfp1M8tfbjmbyv4Q,"Bakeries, Food, Cafes, Restaurants",Pittsburgh,7:0-19:0,11:0-19:0,9:0-17:30,,7:0-19:0,7:0-19:0,7:0-19:0,1,40.48842371,-79.88054509,Loafers Bread Co,,15238,8,4.0,PA
4422 Bigelow Blvd,,,none,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,,,,,,,,,,,,,True,False,False,False,False,False,False,,,,,,,,,,False,,,,,,,,,,False,casual,,False,False,1.0,True,False,True,,,no,wjzCw6rBDwnfZVKkM02jXQ,"Food Trucks, Food, Restaurants, Thai",Pittsburgh,,,,,,,,1,40.4444668,-79.9548644,Pad Thai Express,Oakland,15213,3,3.5,PA
2122 E Carson St,,,beer_and_wine,True,False,False,False,False,False,False,False,False,,,,,,,,True,,True,False,False,True,False,False,,,,False,,,,,,,,,,,,,True,False,False,False,True,False,True,,,,,,,,,,True,,,,,,,,average,,False,casual,,True,True,2.0,True,True,True,,True,no,1_Dg-GguWatioW4mvFQKQA,"Korean, Restaurants, Sushi Bars, Japanese",Pittsburgh,17:0-22:30,11:30-14:30,17:0-22:30,16:0-21:30,11:30-14:30,11:30-14:30,11:30-14:30,1,40.4281973,-79.9753305,Little Tokyo Bistro,South Side,15203,115,4.0,PA
1520 Mt Nebo Rd,,,none,False,False,False,False,False,False,False,False,False,,,,,,,,False,,False,False,False,False,False,False,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,,,,,,,,,,False,,,,,,,,average,,False,casual,,True,True,2.0,False,False,True,,,no,z_vCijesFnp1zt9-sZkMmA,"Restaurants, Pizza",Sewickley,11:0-23:0,11:0-22:0,11:0-23:0,12:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,1,40.553157,-80.106102,Mt. Nebo Pizza Roma,,15143,16,2.5,PA
930 Brookline Blvd,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,,,,,,,,,,True,,,,,,,,,,False,,,True,True,1.0,,,True,,,,g9otJ_FZ3D0BxqTEJetuUw,"Pizza, Restaurants",Pittsburgh,11:0-0:0,11:0-23:0,11:0-0:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,1,40.3922727,-80.0184324,Olive Oil's Pizzeria,Brookline,15226,9,3.0,PA
957 Liberty Ave,,,none,True,False,False,False,False,False,False,False,False,,,,,,,,True,False,True,True,False,True,False,False,,,,True,,,,,,,,,,,,,True,False,True,False,False,False,False,,,,,,,,,,False,,,,,,,,average,,True,casual,,False,True,2.0,True,True,True,,True,free,nk7BE6tOEdhNcbQcaEtGCw,"Restaurants, Delis",Pittsburgh,,,,,,,,0,40.4434132,-79.9961509,Szmidt's Old World Deli,Downtown,15222,22,4.5,PA
